datum,tekst
2026-02-05,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-06,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-07,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-08,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-09,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-10,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-11,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-12,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-13,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-14,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-15,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-16,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-17,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-18,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-19,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-20,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-21,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-22,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-23,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-24,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-25,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-26,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-02-27,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-02-28,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-01,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-02,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-03,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-04,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-05,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-06,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-07,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-08,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-09,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
